codigo,descricao,quantidade,soma,frequencia,frequencia_relativa
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,4,20,5,0.1282
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,5,5,1,0.0256
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,6,54,9,0.2308
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,8,8,1,0.0256
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,10,10,1,0.0256
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,11,11,1,0.0256
5510,8383 PR ARANDELA INJ P/1 LAMP INF C/ PIN,1,3,3,0.3
5510,8383 PR ARANDELA INJ P/1 LAMP INF C/ PIN,2,8,4,0.4
5510,8383 PR ARANDELA INJ P/1 LAMP INF C/ PIN,4,4,1,0.1
5510,8383 PR ARANDELA INJ P/1 LAMP INF C/ PIN,5,5,1,0.1
5510,8383 PR ARANDELA INJ P/1 LAMP INF C/ PIN,6,6,1,0.1
5513,8381 PR ARANDELA INJ P/1 LAMP C/SUP SUP,2,2,1,1.0
5516,8382 PR PENDENTE INJ P/ 1 LAMP C/ PINHAO,2,2,1,1.0
5518,8385 BR BALIZADOR INJ P/1 LAMP,1,2,2,0.05
5518,8385 BR BALIZADOR INJ P/1 LAMP,2,6,3,0.075
5518,8385 BR BALIZADOR INJ P/1 LAMP,3,6,2,0.05
5518,8385 BR BALIZADOR INJ P/1 LAMP,4,4,1,0.025
5518,8385 BR BALIZADOR INJ P/1 LAMP,5,10,2,0.05
